Section,Question,Option A,Option B,Option C,Option D,Correct Answer
Technical,"What is the time complexity of binary search?","O(n)","O(log n)","O(n^2)","O(1)","B"
Technical,"What is the purpose of the 'final' keyword in Java?","To mark a variable as constant","To prevent inheritance","To define abstract methods","To implement interfaces","A"
Technical,"Which of these data structures is used for LRU cache?","Array","Linked List","HashMap","Stack","C"
Technical,"Which of these sorting algorithms has the best time complexity in average cases?","Selection Sort","Merge Sort","Bubble Sort","Quick Sort","B"
Technical,"Which method is used to start a thread in Java?","run()","start()","execute()","init()","B"
Technical,"In a binary tree, what is the height of a tree with a single node?","1","2","0","None of the above","C"
Technical,"What is the time complexity of QuickSort in the worst case?","O(n log n)","O(n^2)","O(n)","O(log n)","B"
Technical,"What is a memory leak?","A reduction in memory allocation","A method of freeing memory","A situation where memory is not released","A technique used in memory optimization","C"
Technical,"Which of these is not a valid access modifier in Java?","private","protected","friendly","public","C"
Technical,"Which of the following is an example of a non-primitive data type in Java?","int","char","String","float","C"
Technical,"Which is the correct syntax for declaring an array in Java?","int[] arr;","array arr[];","arr[] int;","array[] int;","A"
Technical,"What does the 'static' keyword do in Java?","Indicates a constant value","Defines a class-level variable","Indicates a method can be overridden","Defines a method that cannot be overridden","B"
Technical,"What is the default value of a boolean variable in Java?","true","false","null","0","B"
Technical,"Which of the following sorting algorithms is not stable?","Bubble Sort","Insertion Sort","Selection Sort","Merge Sort","C"
Technical,"In Java, which of these exceptions is unchecked?","IOException","SQLException","NullPointerException","FileNotFoundException","C"
Technical,"Which of the following methods can be used to read data from a file in Java?","readLine()","read()","FileReader.read()","All of the above","D"
Technical,"Which of these data types is used to store a single character in Java?","int","char","String","boolean","B"
Technical,"What is the purpose of a constructor in Java?","To initialize an object","To clone an object","To destroy an object","To create an object","A"
Technical,"Which of these are valid Java collection classes?","HashMap","ArrayList","LinkedList","All of the above","D"
Technical,"Which of the following is a type of polymorphism?","Compile-time polymorphism","Run-time polymorphism","Both A and B","None of the above","C"
Aptitude,"If a train travels 60 km in 1 hour, how long will it take to travel 120 km?","1 hour","2 hours","3 hours","4 hours","B"
Aptitude,"What is the square root of 144?","10","12","14","16","B"
Aptitude,"If a man spends 2/5 of his salary on rent and has $600 left, what is his salary?","$1000","$1500","$2000","$2500","C"
Aptitude,"A car is running at a speed of 60 km/hr. How far will it travel in 2 hours?","60 km","120 km","180 km","240 km","B"
Aptitude,"If 5x = 20, what is the value of x?","2","4","6","8","B"
